Name,Publications,Reads,Citations,Projects(Useless),Type,Source
Mohammadreza Ahang,5,35908,15,1,University,ResearchGate
Reza Arjmand,3,,17,,University,Google Scholar
Viviane Aubin,2,20,0,,Utilities,ResearchGate
Alison Bailie,3,135,16,,Government,ResearchGate
Sahand Behboodi,16,2653,359,,Company,ResearchGate
Martin Benum,,,,,Utilities,
Violette Berge,,,,,Consultant,
Jean-Thomas Bernard,155,4956,947,4,University,ResearchGate
Dale Beugin,12,,0,,NGO,Article(From Website)
Kevin Birn,2,,21,,NGO,
Marko Blais,7,493,149,1,Utilities,ResearchGate
Aidan Brookson,5,,17,,NGO,
Kush Bubbar,16,4509,59,4,Company,ResearchGate
Guy Buller,4,904,22,,Government,ResearchGate
Simon Bush,15,5464,41,1,Consultant,ResearchGate
Graham Calvin,,,,,Utilities,
Claudio Cañizares,384,,25572,,University,Google Scholar
Richard Carlson,,,,,NGO,
Kevin Caron,,,,,Government,
Juan Sebastian Carrizo,9,,89,,Consultant,
Theo Christiaanse,33,3484,347,4,University,ResearchGate
Craig Church,,,,,Utilities,
Ismaël Cissé,1,,0,,Government,
John Cooper,,,,,Government,
Royston D’Souza,,,,,Consultant,
Thomas Dandres,32,5509,431,2,Utilities,ResearchGate
Runa Das,8,,104,,University,Google Scholar
Evan Davies,82,,1714,,University,Google Scholar
Véronique Delisle,10,4134,214,,Government,ResearchGate
Gulsun Demirezen,7,,22,,University,
Michel Denault,,,,,Government,
Stephen Dobson,,,,,Government,
Brett Dolter,10,1529,129,,University,ResearchGate
James Donald,3,221,36,,University,PICS(https://pics.uvic.ca/community/james-donald) PlumX
Alexandre Dumas,,,,,Government,
Éloïse Edom,,,,1,University,ResearchGate
Gregory Emiel,9,829,57,1,Utilities,ResearchGate
Ann Evans,,,,,Consultant,
Ralph Evins,88,,2944,,University,
Chuck Farmer,,,,,Utilities,
Gaëlle Faure,12,1520,28,4,University,ResearchGate
Allan Fogwill,,,,,NGO,
Samuel Forget Lord,,,,,Government,
Pierre Frechet,,,,,Utilities,
Vicki Gagnon,,,,,Utilities,
Ahmed Gaouda,8,671,134,1,University,ResearchGate
Ibrahima Gassama,,,,,Government,
Eric Giroux,,,,,Government,
Brad Griffin,,,,,University,
Ehsan Haghi,17,,158,,University,Google Scholar
Matthew Hansen,,,,,Government,
Jennifer Harmer,,,,,Consultant,
Sam Harrison,,,,,University,
Marianne Hatzopoulou,208,22230,2504,5,University,ResearchGate
Richard Hendriks,9,156,19,0,University,ResearchGate
Yuill Herbert,6,1691,36,1,Consultant,ResearchGate
Robert Hoffman,,,,,Consultant,
Michael Hoffman,,,,,Consultant,
Amir Hoss,,,,,Company,
Hossein Hosseini,,,,,NGO,
Gordon Huang,297,,21720,,University,Google Scholar
Adrian Ilinca,81,,4139,,University,Google Scholar
Benjamin Israel,,,,,NGO,
Eva Janossy,,,,,Utilities,
Gabriel John,,,,,Government,
Noeline Kanagalingam,1,,,,Utilities,
Bryan Karney,376,,4047,,University,Google Scholar
Chris Kennedy,182,,7505,,University,Google Scholar
Brett Kerrigan,5,,232,,Consultant,Google Scholar
Chris Krasowski,,,,,Government,
Michaël Kummert,147,,2811,,University,Google Scholar
Elizaveta Kuznetsova,21,,505,,University,
Chunyan Lai,1,163,3,0,University,ResearchGate
Jean-Sébastien Landry,30,,317,,Government,Google Scholar
Simon Langlois-Bertrand,16,905,59,1,University,ResearchGate
Marc Lavigne,,,,,Utilities,
David Layzell,198,,7585,,University,Google Scholar
Caroline Lee,5,,0,,NGO,Other
Samuel Letellier-Duchesne,9,,27,,University,
Thomas Levy,,,,,Government,
Lirong Liu,87,,1104,,University,
Eric Lui,,,,,Government,
Heather MacLean,193,,3641,,University,
Heather MacLeod,,,,,Government,
Fabien Maistre,,,,,Consultant,
Benoit Marcoux,20,,,,Consultant,Other
Azadeh Maroufmashat,60,,702,,Government,Google Scholar
Mohamad Masudy,2,,30,,Consultant,Google Scholar
Brendan Matheson,,,,,Utilities,
Afshin Matin,2,,119,,Government,Google Scholar
Jordan McDade,,,,,Utilities,
James McGowan,,,,,Utilities,
Phil McKay,3,,4,,Company,Google Scholar
Madeleine McPherson,19,4012,401,,University,ResearchGate
Noel Melton,13,2930,206,0,Consultant,ResearchGate
Lyne Mercier,1,,,,Government,
Jean-Francois Mercure,98,30583,1953,3,University,ResearchGate
Eric Miller,245,40098,6937,6,University,ResearchGate
Lindsay Miller-Branovacki,30,7024,496,,University,ResearchGate
Barbar Moawad,1,,15,,Consultant,Google Scholar
Adam Monahan,191,,2184,,University,Google Scholar
Jacob Monroe,7,1179,32,1,University,ResearchGate
